n,time
18521632,0.188
185216329,0.215
1852163299,0.241
18521632999,0.277
1.85216E+11,0.297
1.85216E+12,0.316
1.85216E+13,0.354
1.85216E+14,0.373
1.85216E+15,0.382
1.85216E+16,0.42
1.85216E+17,0.429
1.85216E+18,0.472
1.85216E+19,0.477
1.85216E+20,0.511
1.85216E+21,0.536
1.85216E+22,0.562
1.85216E+23,0.581
1.85216E+24,0.597
1.85216E+25,0.639
1.85216E+26,0.65
1.85216E+27,0.667
1.85216E+28,0.688
1.85216E+29,0.73
1.85E+30,0.735
1.85E+31,0.779
1.85E+32,0.804
1.85E+33,0.828
1.85E+34,0.853
1.85E+35,0.87
1.85E+36,0.912
